Roman Urdu,English
1 baj kar0 minute horahay hain,it is halfpast one
1 bajnay me 10 minutes hai,it is ten minutes to one
1 bajnay me 15 minute hain,it is quarter to one
1 bajraha ha,it is one oclock
10 20 rupy ka bhir sy milta hai itna rait had hai,its easily available in market in just 1020 rs its not fair
10 baras ki umer tak wo kae maqami theaters mein kaam kar chuki thin,by the age of 10 she had worked in many local theaters
10 nikya milti hain,0 good deeds are given
10 sout chahaiy,need ten suits
100 kutton kay lay 1 shar kafi hy,1 lion is enough for 100 dogs
11th mein jo hua tha kisi camp activity ka part tha na,what happend in 11th standard was it part of a camp activity
14 baras ki umar tak pohanchne ke bad angelina adakari ki tarbiyat adhori chor kar murdon ki akhri rasomaat ada karne ke kaam funeral direction mein dilchaspi lene lagen,after reaching at the age of 14 angelina started taking interest in funeral direction instead of acting
1500 kar lo admin,make it 1500 admin
1946 mein aik chote se role ke liye pehli baar film sign ki,signed a small role for a film in 1946
1950 mein in ki jorhi ne pehli baar aik tv show ki hosting ke faraiz anjaam diye,for the first time his couple performed the shows hosting duties
1956 tak inho ne paramount pictures ki 14 films mein kaam kiya,he worked in 14 paramount films by 1956
1962 mein nisar bazmi pakistan aaye,in 1962 nasr bazmi came pakistan
1964 mein aap ne painters aur graphic designers ke leye peshawarana courses ka ijra kiya,in 1964you offered professional courses for painters and graphic designers
1964 mein mohibullah ne apne bare mein apne mamoon hashim khan ko do bare tournament ke final mein shikast di,in 1964 mohibullah defeated his maternal uncle hashim khan in the final of the tournament
1969 mein in ki amli zindagi ne aik aeham karwat us waqt li,in 1969 his ordinary life took a significant turn
1969 se 1975 ke dauran inho ne tv ke liye kae programs ki direction ki,from 1969 to 1975 he directed television programs
1970 mein sylvester stallone ko film no place to hide mein aik mukhtasir role ki peshkash hui,in 1970 sylvester stallone was offered a short role in film no place to hide
1973 mien jab ke farooq law college he mien zer e taleem the,he was in farooq law college in 1973
1974 mein jab in ki umer 28 baras thi to inho ne sasha zaik se shadi kar li in dono ke 2 bete hain,in 1974 when his age was 28 he married sasha zaik and have 2 kids
1975 mein inho ne mohammad ali aur chuck wepner ke darmiyan boxing match dekha,in 1975 he saw the boxing match
1977 se le kar 1989 tak in ki tawajja ka markaz art films he rahi,from 1977 to 1989 the center of his attension is art films
1992 se 1993 ke doran salman ki 6 filmein nakaam hoein kuch logon ka khayal tha ke shayad un ka career zawal pazer ho gaya hai lekin esa nahi tha,salmans six films failed during 1992 and 1993 some people thought that his career may have fallen but that doesnot happen
1999 mein depp ne francis actress vanessa parades ke sath dating shuru ki,in 1999 depp started dating actress vanessa parades
1999 mein film girl interupted mein behtareen performance par unhein acadmy awarad se nawaza gaya,she was awarded the best performancer award for the movie girl entered in 1999
2 baras bad 2 october 1991 ko inho ne dosri shadi kate kapshaw se ki jo tahaal barqarar hai,on october 2 1991 he got married for the second time to kate kapsha after 2 years
2 sot chahye humin,two suits we want
2 suit chaheye,i want two suits
20 afraad ka qateel,murder of twenty
20 saal purani baat nahi karen,dont talk about 20 years ago
2002 mien inho ne roznama times of india ko diye gaey interview mien kaha tha,he said this in an interview with the daily times indiain 2002
2004 mein jaya ne rampur ke set se aam intekhabat mein hissa liya aur 85000 votes ki bartari se kamiyabi hasil ki,in 2004 jaya participated in the rampur elections and won by the lead of 85000 votes
2005 mein un ke taluqat adalar brad pitt ke sath qaim howe jo abhi tak barqarar hain,in 2005 he got in a relationship with actor brad pitt
2008 mien film saas bahu aur scene six se silver screen par in ki wapsi hui,he returns to the silver screen from the movies saas bahu and scene six in 2008
2009 mein forbes nami jaride ne unhein sab se ziyadah mawza lene wali adakara qarar diya,in 2009 forbes declared her the actress who recieve highest salary
2009 mein in ki aamdani 1 crore 90 lac british pond thi,in 2009 her salary was 1 crore 90 lac ponds
2012 mein guinness world record ne inhe sab se ziyada muaawza 7 crore 50 lac dollar wasool karne wala actor qarar diya tha,gunis world records declared him the actor who achieved the highest payment 7 crore 50 lacs
23 saala mohibullah khan uss waqt air force mein molazmet kerte they,moulabala khan 23 years old used to work in the air force that time
27 ramzan k barey main aur b maloomaat send karen,send more information about 27 ramzan
29 ko par sakta hain,can read on 29
30 ka suna ha bhry gi,i heard it will increase in 30
32000 mn kia hoga yr,what will happen in 32000
5 behan bhaiyyon mien farooq sheikh sab se barhe the,farooq sheikh was the most elder one of the siblings
5 ft 9 inch qadamat o qamat wale in kohna mushq actor ne kae yadgaar action films ki hain,this 5ft 9 inch long actor did many memorable films
625 pm aj din thursday,its 625 pm and the day is thursday
8 sal ki girl ka sot mile ga,suit for eight years old girl is available or not
9 bajnay me 20 minute hain,it is twenty to nine
a rahi hun main,i am coming
yh bhot bara h aur weight may b ziyda hai apni tasveer sy,its big and also heavier than the thing showed in picture
yh jackat hai,this is a jacket
awla,nice
ao happy ko judge kertay hain,come lets judge happy
abhi vido bajna please,send me the video please
aahhahahaha,lol
aaj bhi lady diana ke tazkare par bohat si aankhe nam ho jati hain,even today a lot of eyes are named on lady dianas memoirs
aaj kl wesay b aap ko zarooret hai,you need it now a days
aaj mila aur battery kaam nai kar rhi,received today and the battery is not working
aaj mujhe meri masnoaat mila aam sa mayar tha sara masnoaat plastic ka bana hua tha aisa muqami bazaar mein bhi mil jata hai,i got my item today it was ordinary all items were of plastic and are easily available on any nearby shops
aaj ye game khailain gy,will play this game today
aala,great
aala d d,great
aala p,good
aam aayi note bohat sust charge hai aur iss mein ghantay se ziyada waqt hai sale charging ke douran yeh bohat garam hai lehaza larke kharidari se pehlay sochte hain aur ost set bhi karte hain lekin daraz pk khidmat bohat achi hain,ordinary inote has very slow charge and it takes more than an hour it is very hot during cell charging so think before shopping but the service on daraz is very good
aam gharelo istemaal ke liye achay hain,good for day to day use in household
aameen,ameen
aanti toh gussa e kr gai hain,aunty got angry
aap hain yah,this is you
aap jaldi sehat yab ho jain,get well soon
aap k aisa kehnay par nab pichay hat gaee,nab backed away after hearing this
aap k kappray bohat acha hain,your clothes are great
aap kamyab ho,may you succeed
aap kesay hein,how are you
aap kese hen,how are you
aap ki shop kaha hai,where is your shop
aap ko financial sport ya job ki kitni zarorat hai,how much do you need financial support or job
aap mere baat sunain pehle,you listen to me first
aap nay kya seekhna hy jnab,what did you learn
aap ne bht bariki sy notice koya ha sir g,you have observed it quietly deeply sir
aap ny kch kaha kia,did you say something
aap sarkon pe reh ke khush hu,you are happy living on the streets
aap sy jhot nhi bolunga,i wont lie to you
aap tau millionaire ban jaen gee,you will become a millionaire
aap to mayanazadakara niklin,you are a brilliant actress
aapny chalan tcs kra ta,did you tcs the chalan
ab agay kia ha,what next
ab ali zafar kay bhai ko marna paray ga,now have to beat up ali zafars brother
ab allah izzat rkh le batain to bht ho gaien,now allah will honor things
ab ap ho kiya kehh sakte henn p,now what can tell you
ab aunty dekh rahee hogi taraaaakkiii after flooding,now aunty will see progress after flooding
ab bolo kis ki sooch badlo gay jo jisko acha smjhta hai smjhta rahy ga aur apny leader ki khamioon ko khaami nhi smjhta jaesy ap ik ki burai ko bura nhi bolty wasein yeh aurat nawaz ki burai ko burai nhi bolti,now tell me who will change the mind of the one who thinks it is good and does not consider the faults of his leader as faults just as he does not call the evil of one of them bad
ab inho ne bachpan ki apni khuwahish pori karne ke liye urhan tashtariyon ke barey mein aik film close encounter of third kind banane ka faisla kar liya,now he has decided to make a film close encounter of third kind about urhan tashtariyon to fulfill his childhood dream
ab inhoon ne arqum sahab ko message ghumaya,now he had sent a message to mr arqam
ab jitty ga b tou daandali r corruption sy hi jitty ga,now if he wins he will only win by corruption or rigging
ab mere bari hai,its my turn now
ab mt krna,dont do it now
ab mujhe raat din tumhara hi khayal hai sonu nigam,i think of you day night sonu nigam
